Data Source,,,,,,,,,,,,,,,,,
Last Updated Date,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country Name,Indicator Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,GDP (current US$),4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20046334304,20050189882,19215562179,19469022208,
Angola,GDP (current US$),12497346670,14188949191,19640848729,28233712831,41789478661,60448921272,84178032716,75492384801,82470913121,1.04116E+11,1.15398E+11,1.24912E+11,1.26777E+11,1.02962E+11,95335111741,
Albania,GDP (current US$),4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12776277515,13228244357,11335264967,11863865978,
Andorra,GDP (current US$),1733116883,2398645598,2935659300,3255789081,3543256806,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2858517699,
Arab World,GDP (current US$),7.29052E+11,8.23111E+11,9.63862E+11,1.18466E+12,1.40411E+12,1.63757E+12,2.07812E+12,1.79582E+12,2.10965E+12,2.50155E+12,2.74124E+12,2.83963E+12,2.90662E+12,2.5633E+12,2.5047E+12,
United Arab Emirates,GDP (current US$),1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.8988E+11,3.50908E+11,3.74818E+11,3.90427E+11,4.03198E+11,3.57949E+11,3.48743E+11,
Argentina,GDP (current US$),97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.84711E+11,5.45476E+11,
Armenia,GDP (current US$),2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10572298342,
American Samoa,GDP (current US$),514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,659000000,658000000,
Antigua and Barbuda,GDP (current US$),814615323.7,855643099.6,919577142.6,1022191294,1157005441,1311401319,1368431037,1224253000,1152469074,1142042926,1211411704,1192925407,1280133333,1364863037,1460144704,
Australia,GDP (current US$),3.94636E+11,4.66853E+11,6.1333E+11,6.93764E+11,7.47573E+11,8.53765E+11,1.05533E+12,9.27168E+11,1.14288E+12,1.39056E+12,1.53819E+12,1.56718E+12,1.4596E+12,1.34538E+12,1.20462E+12,
Austria,GDP (current US$),2.13378E+11,2.61696E+11,3.00904E+11,3.15974E+11,3.35999E+11,3.88691E+11,4.30294E+11,4.00172E+11,3.91893E+11,4.3112E+11,4.09425E+11,4.30069E+11,4.41885E+11,3.82066E+11,3.908E+11,
Azerbaijan,GDP (current US$),6235795104,7276013032,8680472169,13245716099,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,69684317719,74164435946,75244166773,53074370486,37847715736,
Burundi,GDP (current US$),825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3066681387,3007029030,
Belgium,GDP (current US$),2.5886E+11,3.19003E+11,3.70885E+11,3.87366E+11,4.09813E+11,4.71821E+11,5.18626E+11,4.84553E+11,4.83548E+11,5.27008E+11,4.97884E+11,5.20925E+11,5.31076E+11,4.552E+11,4.67956E+11,
Benin,GDP (current US$),3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9156748441,9707432016,8290986804,8583031398,
Burkina Faso,GDP (current US$),3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,11693235542,
Bangladesh,GDP (current US$),54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,
Bulgaria,GDP (current US$),16360346654,21074775206,26094622564,29821662537,34304448150,44765733380,54409138498,51884481410,50610031136,57418391042,53903028252,55758744571,56732006512,50199117547,53237882473,
Bahrain,GDP (current US$),9632155053,11074822074,13150166755,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,28776595745,30749308511,32539547872,33387712766,31125851064,32179069149,
"Bahamas, The",GDP (current US$),6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8247000000,7820000000,7910000000,7890000000,10720500000,10677200000,10843800000,11240000000,11261800000,
